,Name,Model Idx,Epoch,KL,Rho,A-norm,B-norm,MC,DeltaPhi,MSE,NRMSE
0,Gaussian,0,1,0.14411166310310364,0.7155954241752625,10.222803115844727,1.6826918125152588,11.292837142944336,0.15677954760007995,2.45745544165867e-07,0.07222309893771005
1,Bimodal,1,1,0.03582131862640381,0.7155954241752625,10.222803115844727,2.535122871398926,9.918891906738281,0.47583337400401016,2.45745544165867e-07,0.07222309893771005
2,Soft Trimodal,2,1,0.030379878357052803,0.7155954241752625,10.222803115844727,0.836951732635498,10.583107948303223,0.19732401078327771,2.45745544165867e-07,0.07222309893771005
3,Edgy Trimodal,3,1,0.015470057725906372,0.7155954241752625,10.222803115844727,2.538240432739258,9.518427848815918,0.5566881075615231,2.45745544165867e-07,0.07222309893771005
4,Gaussian,0,2,0.10678475350141525,0.7304725646972656,10.435344696044922,3.1578712463378906,12.268163681030273,0.10780891877175973,2.45745544165867e-07,0.07222309893771005
5,Bimodal,1,2,0.024110933765769005,0.7304746508598328,10.435335159301758,3.742462635040283,9.357019424438477,0.7001174992364265,2.45745544165867e-07,0.07222309893771005
6,Soft Trimodal,2,2,0.026964129880070686,0.7304716110229492,10.435338973999023,1.4094974994659424,10.883707046508789,0.16957371477719455,2.45745544165867e-07,0.07222309893771005
7,Edgy Trimodal,3,2,0.011941392906010151,0.7304727435112,10.435335159301758,3.4305531978607178,9.33169174194336,0.6160765672848346,2.45745544165867e-07,0.07222309893771005
8,Gaussian,0,3,0.08070811629295349,0.7453280091285706,10.64753532409668,4.377338409423828,12.823639869689941,0.09888348317526004,2.45745544165867e-07,0.07222309893771005
9,Bimodal,1,3,0.019777635112404823,0.7453266978263855,10.647527694702148,4.457339763641357,9.077285766601562,0.8281696264231819,2.45745544165867e-07,0.07222309893771005
10,Soft Trimodal,2,3,0.02550223283469677,0.7453259825706482,10.647531509399414,1.819764494895935,11.067126274108887,0.15647747489233327,2.45745544165867e-07,0.07222309893771005
11,Edgy Trimodal,3,3,0.010794305242598057,0.7453267574310303,10.647528648376465,3.9112675189971924,9.14879322052002,0.6146433738561978,2.45745544165867e-07,0.07222309893771005
12,Gaussian,0,4,0.06306939572095871,0.7598128318786621,10.85447883605957,5.354902744293213,13.297223091125488,0.111514736168008,2.45745544165867e-07,0.07222309893771005
13,Bimodal,1,4,0.017695410177111626,0.7598125338554382,10.85446548461914,4.936798095703125,8.918404579162598,0.8937170676458855,2.45745544165867e-07,0.07222309893771005
