,Name,Model Idx,Epoch,KL,Rho,A-Norm,B-Norm
0,Gaussian,0,0,0.19225752353668213,0.7000011205673218,10.0,0.0
1,Bimodal,1,0,0.4841153025627136,0.7000011205673218,10.0,0.0
2,Soft Trimodal,2,0,0.31969746947288513,0.7000011205673218,10.0,0.0
3,Edgy Trimodal,3,0,0.44883033633232117,0.7000011205673218,10.0,0.0
4,Gaussian,0,1,0.15268215537071228,0.7155948877334595,10.222803115844727,1.6586172580718994
5,Bimodal,1,1,0.20317724347114563,0.7155948877334595,10.222803115844727,5.6866912841796875
6,Soft Trimodal,2,1,0.1940486580133438,0.7155948877334595,10.222803115844727,2.9473390579223633
7,Edgy Trimodal,3,1,0.2588028013706207,0.7155948877334595,10.222803115844727,3.792755603790283
8,Gaussian,0,2,0.12234822660684586,0.7304747700691223,10.435344696044922,3.078172445297241
9,Bimodal,1,2,0.0867467075586319,0.7304739356040955,10.435338973999023,9.106691360473633
10,Soft Trimodal,2,2,0.11910485476255417,0.7304755449295044,10.435342788696289,5.1844353675842285
11,Edgy Trimodal,3,2,0.14101600646972656,0.730475127696991,10.435341835021973,6.630908489227295
12,Gaussian,0,3,0.09971805661916733,0.7453290820121765,10.64753532409668,4.258426189422607
13,Bimodal,1,3,0.04334726557135582,0.7453262805938721,10.647531509399414,11.11373519897461
14,Soft Trimodal,2,3,0.07605235278606415,0.7453294992446899,10.64753532409668,6.8103156089782715
15,Edgy Trimodal,3,3,0.07580195367336273,0.745326578617096,10.647534370422363,8.642096519470215
16,Gaussian,0,4,0.08177150785923004,0.759815514087677,10.85447883605957,5.2502360343933105
17,Bimodal,1,4,0.025961298495531082,0.7598146796226501,10.85446834564209,12.229754447937012
18,Soft Trimodal,2,4,0.05067981407046318,0.7598138451576233,10.854475021362305,7.977390766143799
19,Edgy Trimodal,3,4,0.047194141894578934,0.7598122358322144,10.854471206665039,9.94861888885498
