,Name,N,Model Index,p,Tau,Lambda,MSE,NRMSE
0,Vanilla,50,0,1,1,0.2,0.048731960356235504,22.429595660078434
1,Vanilla,50,0,1,2,0.2,0.05055416747927666,22.381811714101
2,Vanilla,50,0,1,5,0.0,0.04566909745335579,21.944877927122953
3,Vanilla,50,0,1,10,0.05,0.0474795363843441,22.509638099557417
4,Vanilla,50,0,2,1,0.2,0.005621194373816252,22.412589949232146
5,Vanilla,50,0,2,2,0.2,0.005960726644843817,22.260664195170733
6,Vanilla,50,0,2,5,0.2,0.006722291000187397,22.478421863264572
7,Vanilla,50,0,2,10,0.2,0.005333229899406433,22.462207844510743
8,Vanilla,50,0,5,1,0.0,8.295641600852832e-05,22.537752480343606
9,Vanilla,50,0,5,2,0.1,7.043874938972294e-05,23.716157271418492
10,Vanilla,50,0,5,5,0.1,7.607747102156281e-05,22.523695611814503
11,Vanilla,50,0,5,10,0.05,3.2470590667799115e-05,22.723843136120262
12,Vanilla,50,0,10,1,0.1,1.7529504248159355e-07,22.574954497332673
13,Vanilla,50,0,10,2,0.2,2.8574760335686733e-07,22.509219167038328
14,Vanilla,50,0,10,5,0.2,4.770641908180551e-07,22.412280857867927
15,Vanilla,50,0,10,10,0.2,4.5141413806959463e-07,22.45903116910183
16,Gaussian,50,1,1,1,0.2,0.047677550464868546,22.368066832392095
17,Gaussian,50,1,1,2,0.0,0.039956845343112946,22.515122820345315
18,Gaussian,50,1,1,5,0.2,0.04697442427277565,22.400565603472355
19,Gaussian,50,1,1,10,0.0,0.04830101504921913,22.48520631824018
20,Gaussian,50,1,2,1,0.0,0.005053476896136999,22.61652497950199
21,Gaussian,50,1,2,2,0.2,0.007103947456926107,22.26439552526564
22,Gaussian,50,1,2,5,0.2,0.007004491984844208,22.373842006958565
23,Gaussian,50,1,2,10,0.2,0.0070144194178283215,22.403645681981093
24,Gaussian,50,1,5,1,0.2,0.00011210422235308215,22.437980795466743
25,Gaussian,50,1,5,2,0.2,9.277681238017976e-05,22.591707635905923
26,Gaussian,50,1,5,5,0.2,0.0001484220556449145,22.40381186612699
27,Gaussian,50,1,5,10,0.2,2.8840440791100264e-05,22.401180018269965
