,Model Name,N,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,50,0.0,Mean,5.104917590870173e-05,0.5146156296393627,0.05640409917387333,3.2935619782946834,0.799999974668026,0.0
1,Vanilla,50,0.0,Std,1.3614591944102754e-05,0.06814176844167637,0.01286799444717098,0.33152305334318655,6.229594354833415e-07,0.0
2,Gaussian,50,1.0,Mean,0.00014514548411170836,0.8601301037423257,0.056606125114670516,4.331942355871316,0.909696452319622,0.05922082345932722
3,Gaussian,50,1.0,Std,5.386452352172346e-05,0.16233785604658243,0.014196575844742118,0.6332235370763051,1.0086391171351933e-06,0.005937140038183311
4,Hard Bimodal,50,2.0,Mean,1.6322618535014044e-05,0.290391707813954,0.20948901423893618,1.289267179718853,0.9096958786249161,0.01563455769792199
5,Hard Bimodal,50,2.0,Std,5.279690437106839e-06,0.042832547497426265,0.16696822167757125,0.05607595475741304,1.3698536258379725e-06,0.0003754480981907988
6,Soft Trimodal,50,3.0,Mean,0.00012226848957652692,0.799891197971505,0.1046128862435733,2.0911236988542363,0.9096960499882698,0.026530552888289094
7,Soft Trimodal,50,3.0,Std,2.2385823546558043e-05,0.07477287676114835,0.06384916359654184,0.18014694367199782,1.2055905078790325e-06,0.0012397873105830296
8,Edgy trimodal,50,4.0,Mean,1.9258968109170382e-05,0.31270160903691063,0.15004767742877184,1.415090429347113,0.9096943140029907,0.009932155953720212
9,Edgy trimodal,50,4.0,Std,8.474443319308355e-06,0.06228754936493431,0.10705870047523218,0.09980327220468496,1.018524616398517e-06,0.0004725662853119182
0,Vanilla,100,0.0,Mean,1.5384092307613173e-05,0.27772810807400744,0.04632771947802522,3.0703044612471877,0.8000002950429916,0.0
1,Vanilla,100,0.0,Std,8.009592905557588e-06,0.06383482699915617,0.0029669893811782692,0.4174096107620874,1.41702129918257e-06,0.0
2,Gaussian,100,1.0,Mean,5.7609393252278096e-05,0.5366461487821268,0.06640304128039977,4.379878453572209,0.9096948876976967,0.05962504493072629
3,Gaussian,100,1.0,Std,2.595233906551857e-05,0.12693613482329266,0.0176233258644412,0.6467335513312736,2.2549425583885694e-06,0.0021621371672006077
4,Hard Bimodal,100,2.0,Mean,3.5397984561313933e-06,0.13593334047072161,0.2315563849691048,1.3174757873599594,0.9096937999129295,0.015588332200422883
5,Hard Bimodal,100,2.0,Std,7.158689826731273e-07,0.014408681041018617,0.23274911953404462,0.04873195102331767,1.8513306053948204e-06,0.00030440349178710574
6,Soft Trimodal,100,3.0,Mean,3.76167731701571e-05,0.44181674262330817,0.0794048206845423,2.4537695395333343,0.9096947312355042,0.027782805496826768
7,Soft Trimodal,100,3.0,Std,9.530965218292901e-06,0.058009315701376137,0.03507097648240824,0.2620267240162383,1.8086351538537453e-06,0.0011626044233839946
8,Edgy trimodal,100,4.0,Mean,4.6168439098437375e-06,0.15020233031814684,0.16165215659219054,1.407390893131916,0.9096963033080101,0.010419910657219589
9,Edgy trimodal,100,4.0,Std,3.0122608678219675e-06,0.04254558490213839,0.11355106279855814,0.06198798845521539,1.1542149359625167e-06,0.00036239115390713405
0,Vanilla,150,0.0,Mean,7.25872462226107e-06,0.1895376503290185,0.07324475156442328,3.230579601467019,0.7999998107552528,0.0
1,Vanilla,150,0.0,Std,3.838871452919167e-06,0.04890812672224874,0.05164727311807087,0.2609044943564957,1.6932171826557788e-06,0.0
2,Gaussian,150,1.0,Mean,5.2398985189938685e-05,0.5191478685400198,0.06660021790484824,5.085502471850821,0.9096951559185982,0.06296978052705526
3,Gaussian,150,1.0,Std,1.818927129798303e-05,0.08416208645240854,0.01925120502267345,0.5963772945496608,1.6022559754895535e-06,0.0030693973696797766
4,Hard Bimodal,150,2.0,Mean,1.5165867353061913e-06,0.08923028529076474,0.12497913454524306,1.3198029306473777,0.9096945896744728,0.015788683551363647
5,Hard Bimodal,150,2.0,Std,2.1442887485650882e-07,0.006598543556402332,0.07367164854377639,0.036187279173807325,9.606049484138621e-07,0.00031641437017692524
6,Soft Trimodal,150,3.0,Mean,1.7012798366522475e-05,0.2961256920444905,0.09664233740156326,2.296663338712276,0.9096952527761459,0.027205827180296183
7,Soft Trimodal,150,3.0,Std,5.38311004757241e-06,0.045986816745199374,0.052536307078566324,0.29978448586451756,8.083794111024644e-07,0.0014506108715580744
8,Edgy trimodal,150,4.0,Mean,1.9652348157706e-06,0.10104116021259998,0.19747354477477738,1.482851156736506,0.9096940606832504,0.010472575668245554
9,Edgy trimodal,150,4.0,Std,5.229278186393649e-07,0.012827332768970873,0.18463330051803753,0.046581251762951414,1.5853462975471414e-06,0.000380299564877501
0,Vanilla,200,0.0,Mean,5.356409644718951e-06,0.16567749736980647,0.06247165215613714,3.347715032555889,0.8000001758337021,0.0
1,Vanilla,200,0.0,Std,1.8439081243150417e-06,0.02873620086113147,0.0187864615317629,0.3160846715060707,1.926057946813257e-06,0.0
