,Model Name,N,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,50,0.0,Mean,0.00045780806249240413,1.5428053568203093,0.050150781287195,3.1777681263909474,0.8000007793307304,0.0
1,Vanilla,50,0.0,Std,0.00018196361769974058,0.2871832179473832,0.008098549584152718,0.5549259311749164,1.004668732885602e-06,0.0
2,Gaussian,50,1.0,Mean,0.0012475320545490831,2.556286008678973,0.06226347114688156,4.3792479071605115,0.9096952974796295,0.059071870520710945
3,Gaussian,50,1.0,Std,0.0004026262338410587,0.41993821416359023,0.018551230519696985,0.5254285124172764,7.245091069426071e-07,0.0040517533769934945
4,Hard Bimodal,50,2.0,Mean,0.006306241062702611,5.254170229695859,0.106423570433438,1.296958874735298,0.9096957296133041,0.015910868416540325
5,Hard Bimodal,50,2.0,Std,0.007460854257940753,2.5134336435976516,0.0620312513297154,0.05762356587545948,9.371160080152824e-07,0.0006460483476072165
6,Soft Trimodal,50,3.0,Mean,0.0027020688576158136,3.773660110027575,0.08255204132515047,2.2242621056321745,0.9096953645348549,0.026910181622952223
7,Soft Trimodal,50,3.0,Std,0.0008592028016609978,0.5430827550557698,0.03819974831856156,0.32982099283419064,9.973486446137624e-07,0.0017625939336979428
8,Edgy trimodal,50,4.0,Mean,0.001908021469716914,3.0990508625307314,0.11445072353708985,1.4413849973661632,0.9096951633691788,0.010320183471776545
9,Edgy trimodal,50,4.0,Std,0.0011215478029875626,0.8123132494342178,0.09875913767867608,0.15673322109130514,1.3040857445432087e-06,0.0005619628687398911
0,Vanilla,100,0.0,Mean,0.00016680801491020247,0.9389449726189711,0.05649266115500174,3.549598188016575,0.8000005558133125,0.0
1,Vanilla,100,0.0,Std,4.4802369217061495e-05,0.12532229877837162,0.01085721449445568,0.3630681974310449,1.4065425406758225e-06,0.0
2,Gaussian,100,1.0,Mean,0.0006783857497794088,1.8875497265946088,0.07582727804565179,4.5406321362153825,0.9096957519650459,0.06083817593753338
3,Gaussian,100,1.0,Std,0.0002028551306766968,0.29402269984384555,0.025282622997121213,0.48010639877042227,1.0947790947191528e-06,0.004110108959367936
4,Hard Bimodal,100,2.0,Mean,0.0009942810502252541,2.263802516331325,0.17791495718857533,1.2870134533635496,0.9096955060958862,0.015659325406886637
5,Hard Bimodal,100,2.0,Std,0.000410038800190977,0.47308718946206796,0.14004354021746795,0.03082140170481817,1.6356018464579873e-06,0.00021423901994008164
6,Soft Trimodal,100,3.0,Mean,0.0006685508487862535,1.8795387212938466,0.08763645230532947,2.1842993140263247,0.9096943885087967,0.027267103316262364
7,Soft Trimodal,100,3.0,Std,0.00018495600910615567,0.2524320484942065,0.028125990781654713,0.11043813795688233,1.993361032310363e-06,0.0010745142944895952
8,Edgy trimodal,100,4.0,Mean,0.0006599477183044655,1.7554295839265128,0.07577397753963565,1.5360694094991827,0.9096942767500877,0.010794899542815983
9,Edgy trimodal,100,4.0,Std,0.000606316145631625,0.6845255617817302,0.03569101571024665,0.09817429686390002,1.5199001804358057e-06,0.00048674648694311287
0,Vanilla,150,0.0,Mean,0.00010229548115603393,0.7308883958353651,0.05610864838852036,3.2160672732235143,0.7999996542930603,0.0
