,Model Name,N,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,50,0.0,Mean,4.46314267719572e-05,0.4785079605481787,0.052924624945345375,3.1540478075844023,0.8000000536441803,0.0
1,Vanilla,50,0.0,Std,1.8912390138774773e-05,0.10943889778828111,0.012394186555290279,0.5435748091905664,1.2689071543533732e-06,0.0
2,Gaussian,50,1.0,Mean,0.00010354337791795842,0.7412284188239237,0.08400639919488845,4.6172408084378285,0.9096953570842743,0.06144299358129501
3,Gaussian,50,1.0,Std,2.6777142955331178e-05,0.09781919036140863,0.05714900662790713,0.6308055297872697,1.2906160576661113e-06,0.005404174652453233
4,Hard Bimodal,50,2.0,Mean,1.3130564843777392e-05,0.24252714849617063,0.1614025969821028,1.3167458792583755,0.909694230556488,0.01589020388200879
5,Hard Bimodal,50,2.0,Std,1.226726048756751e-05,0.10985037872100555,0.14107543382947094,0.06271972886243439,1.500380450230924e-06,0.00047901561973597706
8,Soft Trimodal,50,3.0,Mean,6.779888535675127e-05,0.5921507225071619,0.11963717179076583,2.510400558875907,0.9096955537796021,0.028020239435136318
9,Soft Trimodal,50,3.0,Std,2.7779091236204443e-05,0.12399941881053762,0.07760395267927171,0.3778925361615021,1.10157382146232e-06,0.0017663826716782904
10,Edgy trimodal,50,4.0,Mean,6.46710042929044e-05,0.5879746398722193,0.12670206837440431,3.2041233051933746,0.9096961796283722,0.03445779494941235
11,Edgy trimodal,50,4.0,Std,1.2911064011951087e-05,0.05846369027919997,0.15730469852406487,0.4009632901273404,1.0282621834667542e-06,0.0016593722776360158
0,Vanilla,100,0.0,Mean,1.372038452700508e-05,0.25485955674052735,0.0527067799421014,3.1347939921672747,0.8000005304813385,0.0
1,Vanilla,100,0.0,Std,8.687848281436322e-06,0.09548468848311449,0.01558161164326768,0.4748496699475228,1.0518320049871386e-06,0.0
2,Gaussian,100,1.0,Mean,5.835754291183548e-05,0.5528668323535356,0.06934240460309768,4.660039362537313,0.9096964180469513,0.059468142688274384
3,Gaussian,100,1.0,Std,1.8705886910918322e-05,0.09688485785603723,0.04735453894563154,0.555377951569542,1.2927614016687471e-06,0.00374469739299554
4,Hard Bimodal,100,2.0,Mean,3.2407244674459437e-07,0.040780979744187616,0.09444528521470838,1.2907763422181813,0.9096953511238098,0.015756412129849195
