,Name,N,Model Index,Log Nu,Tau,Lambda,MSE,NRMSE
0,Vanilla,50,0,-2.0,1,0.0,3.8183348038955955e-08,0.07012895960793288
1,Vanilla,50,0,-2.0,2,0.0,2.9594295369861356e-07,0.20020507230461407
2,Vanilla,50,0,-2.0,5,0.0,3.813839612121228e-06,0.7070642115881534
3,Vanilla,50,0,-2.0,10,0.0,0.000119082658784464,3.941500856381296
4,Vanilla,50,0,-1.0,1,0.0,1.5254953211751854e-07,0.05159212754963331
5,Vanilla,50,0,-1.0,2,0.0,1.69042300512956e-06,0.17257258429209082
6,Vanilla,50,0,-1.0,5,0.0,3.741063846973702e-05,0.7861641255652312
7,Vanilla,50,0,-1.0,10,0.0,0.0008548825862817466,3.9634651380545445
8,Vanilla,50,0,-0.5,1,0.0,5.5242691132662e-07,0.06143528056719898
9,Vanilla,50,0,-0.5,2,0.0,3.3597973470023135e-06,0.1511751618138894
10,Vanilla,50,0,-0.5,5,0.0,9.156118176179007e-05,0.7716028822647771
11,Vanilla,50,0,-0.5,10,0.0,0.002510854508727789,4.016470378548535
12,Vanilla,50,0,0.0,1,0.0,1.4242648830986582e-05,0.19027022507645258
13,Vanilla,50,0,0.0,2,0.0,2.2976815671427175e-05,0.24969750223189982
14,Vanilla,50,0,0.0,5,0.0,0.00019711405911948532,0.7574001645561707
15,Vanilla,50,0,0.0,10,0.0,0.005581592209637165,3.9238706579794087
16,Vanilla,50,0,0.5,1,0.0,0.00042218624730594456,0.7227094888407565
17,Vanilla,50,0,0.5,2,0.0,0.0006309411255642772,0.8567895317162963
18,Vanilla,50,0,0.5,5,0.0,0.0024132414255291224,1.7302791586321773
19,Vanilla,50,0,0.5,10,0.0,0.013459019362926483,4.12196307663018
20,Gaussian,50,1,-2.0,1,0.0,4.06301325028835e-07,0.23002354406792197
21,Gaussian,50,1,-2.0,2,0.0,1.486313522036653e-06,0.44998412236706925
22,Gaussian,50,1,-2.0,5,0.0,1.7671236491878517e-05,1.4999907016465952
23,Gaussian,50,1,-2.0,10,0.0,0.00017318151367362589,4.844860515653438
24,Gaussian,50,1,-1.0,1,0.0,2.5763140456547262e-06,0.21055482661814592
25,Gaussian,50,1,-1.0,2,0.0,9.871942893369123e-06,0.42460424144628106
26,Gaussian,50,1,-1.0,5,0.0,0.00012437612167559564,1.5346275758783035
27,Gaussian,50,1,-1.0,10,0.0,0.0012788260355591774,4.724822324611319
28,Gaussian,50,1,-0.5,1,0.0,4.110147983737988e-06,0.16972479956515743
29,Gaussian,50,1,-0.5,2,0.0,2.290623524459079e-05,0.3803688215743672
30,Gaussian,50,1,-0.5,5,0.0,0.0003918178554158658,1.5536019834323092
31,Gaussian,50,1,-0.5,10,0.0,0.004371464252471924,5.2646932711467445
32,Gaussian,50,1,0.0,1,0.0,5.694932406186126e-05,0.3952823137360542
33,Gaussian,50,1,0.0,2,0.0,7.04117410350591e-05,0.4253516173189723
34,Gaussian,50,1,0.0,5,0.0,0.0006975448341108859,1.3903283649344527
35,Gaussian,50,1,0.0,10,0.0,0.008221197873353958,4.723316130749253
36,Gaussian,50,1,0.5,1,0.0,0.0013624143321067095,1.2978915171791519
37,Gaussian,50,1,0.5,2,0.0,0.0012955728452652693,1.2655223286745199
38,Gaussian,50,1,0.5,5,0.0,0.002898197853937745,1.9609280772191746
39,Gaussian,50,1,0.5,10,0.0,0.021067239344120026,4.958530689233388
40,Hard Bimodal,50,2,-2.0,1,0.0,7.07169656166684e-09,0.029723306444977376
41,Hard Bimodal,50,2,-2.0,2,0.0,1.6868891350441118e-07,0.14469065124136776
42,Hard Bimodal,50,2,-2.0,5,0.0,0.00011944097059313208,3.9522534039063038
43,Hard Bimodal,50,2,-2.0,10,0.0,0.0038266745395958424,21.966225795151832
44,Hard Bimodal,50,2,-1.0,1,0.0,7.970722037953237e-08,0.03740469692337588
45,Hard Bimodal,50,2,-1.0,2,0.0,1.8940714880955056e-06,0.18688773484997628
46,Hard Bimodal,50,2,-1.0,5,0.0,0.001093825325369835,4.305188380072937
47,Hard Bimodal,50,2,-1.0,10,0.05,0.026439426466822624,22.31630061074682
48,Hard Bimodal,50,2,-0.5,1,0.0,4.1171108478010865e-07,0.051388978324864575
