,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,3.784909807791337e-06,0.14041510852457703,0.05578836104959855,3.245194433712678,0.7999996170401573,0.0
1,Vanilla,0.0,Std,8.339930555878166e-07,0.016215597053811228,0.015790685668262985,0.31369608721726866,1.6192119020695032e-06,0.0
2,Gaussian,1.0,Mean,1.7163577240353334e-05,0.2976124510955798,0.0738782404330364,4.602907686356453,0.909695491194725,0.05976911773905158
3,Gaussian,1.0,Std,5.2402846711940066e-06,0.04503284371713428,0.05036582937703796,0.35014568433060445,1.8906866727959127e-06,0.0023526424815500215
4,Hard Bimodal,2.0,Mean,1.670913277962427e-06,0.09378700280413389,0.1980205187567789,1.3239241596763212,0.9096946120262146,0.015863506007008255
5,Hard Bimodal,2.0,Std,1.7404097400165645e-07,0.004921793915624358,0.19826282851441435,0.0431875955417681,2.2307988895415475e-06,0.00022174642134901288
6,Soft Trimodal,3.0,Mean,6.138339188055397e-06,0.1791852866113153,0.1366664915226285,2.319549984291824,0.9096954166889191,0.027583264047279954
7,Soft Trimodal,3.0,Std,1.155479831588207e-06,0.01717545347747161,0.07316665451359436,0.16961605567055535,1.3163723245476352e-06,0.000652218262346126
8,Edgy trimodal,4.0,Mean,1.418450423784634e-06,0.08644894606857231,0.08773728826335808,1.526380898102204,0.9096967428922653,0.010577688692137599
9,Edgy trimodal,4.0,Std,1.2210934923499631e-07,0.00375945175832497,0.07621745406213637,0.039557590534948346,1.907756042927446e-06,0.00023277990273028269
