,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,0.0,,0.05439697481839098,3.261000330572335,0.8000000566244125,0.0
1,Vanilla,0.0,Std,0.0,,0.011348380191856536,0.24873700096699508,9.280684363257897e-07,0.0
2,Gaussian,1.0,Mean,0.0,,0.06186667010707284,5.192611782324934,0.9096957892179489,0.06263340404257178
3,Gaussian,1.0,Std,0.0,,0.019406622778492772,0.47100818004013606,1.5709951571350316e-06,0.0021962322005619666
4,Hard Bimodal,2.0,Mean,0.0,,0.09163591822602431,1.3222409207451093,0.9096964374184608,0.01586675550788641
5,Hard Bimodal,2.0,Std,0.0,,0.043363762582963664,0.02886077125829532,1.2474105499647612e-06,0.0001892282286032134
6,Soft Trimodal,3.0,Mean,0.0,,0.16024089234365585,2.276512846915579,0.9096945226192474,0.02731538936495781
7,Soft Trimodal,3.0,Std,0.0,,0.12216634132119068,0.12619756907391302,1.9371509552001953e-06,0.000685957267206703
8,Edgy trimodal,4.0,Mean,0.0,,0.08943182054607024,1.5027016050768547,0.9096961468458176,0.010621657711453736
9,Edgy trimodal,4.0,Std,0.0,,0.05005595982494467,0.0629763132965709,1.4822723655702366e-06,0.0002553594840993954
