,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,2.621036841787827e-06,0.1156212649536253,0.0514088946240636,3.3820808919431293,0.7999999299645424,0.0
1,Vanilla,0.0,Std,1.00665029619168e-06,0.019955211158663114,0.006760473412713223,0.2279323407101237,1.6563597517756992e-06,0.0
2,Gaussian,1.0,Mean,1.7773962667888554e-05,0.3001056454394505,0.06411910774660616,4.814114634331297,0.9096964970231056,0.06069506239145994
3,Gaussian,1.0,Std,6.913016093457926e-06,0.05736629608613775,0.022693908794610047,0.40406587280099876,1.3686171035013162e-06,0.0021132208872497583
4,Hard Bimodal,2.0,Mean,2.3787370739825064e-08,0.01111351869611623,0.19401249146450955,1.2867000160228617,0.9096945449709892,0.016347481170669198
5,Hard Bimodal,2.0,Std,4.991301281108329e-09,0.0011950922080765714,0.16356494998972554,0.015668655458719365,2.1682981698860935e-06,0.0002498424211753871
6,Soft Trimodal,3.0,Mean,7.002250043797176e-06,0.18947427612642515,0.14726439140065967,2.3542070454753135,0.909695528447628,0.02854615543037653
7,Soft Trimodal,3.0,Std,2.0794103927971693e-06,0.029621911801009197,0.14136821338136765,0.21110695928001177,2.038996731597443e-06,0.0007601353379663649
8,Edgy trimodal,4.0,Mean,7.565483839400144e-08,0.019785708736427137,0.07531865017042629,1.5176217409698411,0.9096949100494385,0.010758729884400964
9,Edgy trimodal,4.0,Std,1.8966548717171456e-08,0.00242653653504208,0.020316938845903125,0.04508405018831631,1.4966582691061162e-06,0.00028271324971585637
