,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,3.1686451151813344e-06,0.1223459278387351,0.0552568985462545,3.3868038037879358,0.8000002801418304,0.0
1,Vanilla,0.0,Std,1.4867078671612593e-06,0.03370918614527278,0.014360783758057383,0.2646928903032149,2.2307988895415475e-06,0.0
2,Gaussian,1.0,Mean,3.020554845534207e-05,0.38733648037141927,0.08074206374652802,5.218768828762433,0.9096946939826012,0.06406207382678986
3,Gaussian,1.0,Std,8.908591343637706e-06,0.05909339050277564,0.05242877995609092,0.3783688358441846,2.754569427033368e-06,0.0015464921004446864
4,Hard Bimodal,2.0,Mean,2.426340683925332e-08,0.011022662573336745,0.07855421344533044,1.2978504166459528,0.909694530069828,0.01608096854761243
5,Hard Bimodal,2.0,Std,5.781828580068013e-09,0.001349511685858822,0.019975130296079616,0.026534367655818934,2.4346760075885673e-06,0.00035050239075436136
6,Soft Trimodal,3.0,Mean,6.585862479369098e-06,0.1804906930758588,0.16008222772006825,2.349028199055683,0.9096946194767952,0.02840241976082325
7,Soft Trimodal,3.0,Std,2.1404129213144017e-06,0.02993601994089637,0.11773397629087344,0.13345605120344028,2.43349010727378e-06,0.0007550624280102705
8,Edgy trimodal,4.0,Mean,6.910033034657204e-08,0.018558356238077705,0.08891122038531811,1.5080456234434911,0.9096953794360161,0.01080824586097151
9,Edgy trimodal,4.0,Std,1.8590850004377016e-08,0.0026065558469189473,0.04928326094804191,0.08004824254318302,3.126040235121646e-06,0.00037975602519675676
