,Name,TYPE,MSE,MC,Lambda max,delta_phI,KL,Rho,A-Norm,B-Norm
0,1) - Vanilla - 100 UNIT - Spectral Radius: 0.95 ,0,6.879932243464282e-06,19.037708282470703,-0.17736176,0.05552123532397664,,0.9500020146369934,1.0,0.0
1,1) - Gauss 1 - 100 UNIT - Spectral Radius: 0.95 ,1,1.3317307434590475e-07,9.951682090759277,-0.29386395,0.10111990087200176,0.22724048793315887,0.9264897108078003,16.66733741760254,3.9713549613952637
2,1) - Gauss 2 - 100 UNIT - Spectral Radius: 0.95 ,2,1.3508563156960918e-09,9.845124244689941,-0.71274155,0.049282354098485595,0.07972265779972076,0.5630186796188354,11.147283554077148,1.6252962350845337
3,1) - Bimodal - 100 UNIT - Spectral Radius: 0.95 ,3,1.0530109051387626e-07,8.260831832885742,-0.37258795,0.05886192558920745,0.10063306242227554,0.9479072093963623,18.51116371154785,9.068530082702637
4,1) - Trim 1 - 100 UNIT - Spectral Radius: 0.95 ,4,5.614820111077279e-06,9.799692153930664,-0.46336657,0.1424426065141136,0.08619789034128189,0.942397952079773,19.082048416137695,7.986148834228516
5,1) - Trim 2 - 100 UNIT - Spectral Radius: 0.95 ,5,5.8231064414826506e-09,9.914058685302734,-0.14280204,0.2096334735479083,0.058998897671699524,0.9483506679534912,20.615663528442383,9.53840446472168
6,1) - Trim 3 - 100 UNIT - Spectral Radius: 0.95 ,6,3.5019547262038486e-09,8.960880279541016,-0.118449114,0.06277726958058802,0.055792320519685745,0.9413794279098511,17.08879280090332,9.243171691894531
7,2) - Vanilla - 100 UNIT - Spectral Radius: 0.95 ,0,3.657191427919315e-06,17.676719665527344,-0.16003478,0.08670692671491516,,0.9499974250793457,1.0,0.0
8,2) - Gauss 1 - 100 UNIT - Spectral Radius: 0.95 ,1,7.314162075999775e-08,9.5547456741333,-0.22046629,0.6321480832030979,0.24239511787891388,0.9350464344024658,16.82403564453125,4.128380298614502
9,2) - Gauss 2 - 100 UNIT - Spectral Radius: 0.95 ,2,1.8074416407998228e-09,10.639388084411621,-0.63342667,0.047103688016319104,0.08532775938510895,0.5534569621086121,11.168842315673828,1.6564604043960571
10,2) - Bimodal - 100 UNIT - Spectral Radius: 0.95 ,3,7.879753383122079e-08,7.732169151306152,-0.55018634,0.06094047780235094,0.0961233600974083,0.9405590891838074,18.68874168395996,9.062655448913574
11,2) - Trim 1 - 100 UNIT - Spectral Radius: 0.95 ,4,2.8843192012573127e-07,9.701844215393066,-0.09156461,0.05287942361782021,0.07834965735673904,0.94564288854599,20.267181396484375,8.46790885925293
12,2) - Trim 2 - 100 UNIT - Spectral Radius: 0.95 ,5,3.702679718387003e-09,10.111058235168457,-0.07380933,0.055662050853929744,0.05786850303411484,0.9421960711479187,17.262651443481445,8.229964256286621
13,2) - Trim 3 - 100 UNIT - Spectral Radius: 0.95 ,6,1.687156636620557e-09,8.870699882507324,-0.1232314,0.20165674363348415,0.056422747671604156,0.9495248794555664,22.779218673706055,10.986940383911133
14,3) - Vanilla - 100 UNIT - Spectral Radius: 0.95 ,0,5.278609478409635e-06,19.043066024780273,-0.09147197,0.051066058017680556,,0.949999213218689,1.0,0.0
15,3) - Gauss 1 - 100 UNIT - Spectral Radius: 0.95 ,1,8.28022734822298e-08,9.488964080810547,-1.6739483,0.0875012084646149,0.22437487542629242,0.9490095376968384,17.14468765258789,4.222564220428467
16,3) - Gauss 2 - 100 UNIT - Spectral Radius: 0.95 ,2,5.160686100680323e-07,10.496243476867676,-0.61034554,0.05690010709299588,0.08353740721940994,0.5534120202064514,11.196560859680176,1.6329556703567505
17,3) - Bimodal - 100 UNIT - Spectral Radius: 0.95 ,3,1.2524920123269112e-07,7.709433078765869,-5.1064262,0.05567450510007596,0.10168171674013138,0.9486340284347534,18.655946731567383,9.33614444732666
18,3) - Trim 1 - 100 UNIT - Spectral Radius: 0.95 ,4,2.3418802452823684e-09,10.18775749206543,-0.5878177,0.04883188283200509,0.08238621056079865,0.9450125098228455,17.67300796508789,7.700732231140137
19,3) - Trim 2 - 100 UNIT - Spectral Radius: 0.95 ,5,2.4050328395475162e-09,10.211042404174805,-0.070168726,0.05302631870494293,0.066979318857193,0.9467897415161133,19.621692657470703,8.066953659057617
20,3) - Trim 3 - 100 UNIT - Spectral Radius: 0.95 ,6,1.7142066610631446e-07,8.297208786010742,-0.16594672,0.1317822686583647,0.0560397244989872,0.9495287537574768,19.17391014099121,10.409162521362305
21,4) - Vanilla - 100 UNIT - Spectral Radius: 0.95 ,0,3.4526860872574616e-06,18.741790771484375,-0.07094566,0.2532993163001202,,0.9499986171722412,1.0,0.0
22,4) - Gauss 1 - 100 UNIT - Spectral Radius: 0.95 ,1,8.604010304225085e-08,8.615365982055664,-6.707869,0.10715367589260846,0.2850797772407532,0.9499607682228088,20.00752067565918,5.923060417175293
23,4) - Gauss 2 - 100 UNIT - Spectral Radius: 0.95 ,2,2.654778397115365e-09,11.265869140625,-0.66658616,0.04415028830655246,0.075015589594841,0.5586066842079163,11.092144012451172,1.5319056510925293
24,4) - Bimodal - 100 UNIT - Spectral Radius: 0.95 ,3,1.312223787408584e-07,7.596292495727539,-0.7764962,0.1868818249853281,0.10689567029476166,0.9486257433891296,19.536483764648438,9.422513008117676
25,4) - Trim 1 - 100 UNIT - Spectral Radius: 0.95 ,4,3.8814813585474894e-09,9.931387901306152,-0.1220961,0.06357541502726621,0.06940501183271408,0.9426724910736084,16.795467376708984,7.088758945465088
26,4) - Trim 2 - 100 UNIT - Spectral Radius: 0.95 ,5,6.697526941934484e-07,10.097318649291992,-0.10659672,0.115434054297597,0.05621209740638733,0.9439924359321594,17.76865005493164,8.419931411743164
27,4) - Trim 3 - 100 UNIT - Spectral Radius: 0.95 ,6,2.4960724598344086e-09,9.05026626586914,-0.25591278,0.15146712007780042,0.057429805397987366,0.9470658302307129,19.17730140686035,10.207536697387695
28,5) - Vanilla - 100 UNIT - Spectral Radius: 0.95 ,0,6.946616849745624e-06,19.04480743408203,-0.06661243,0.05175867658465031,,0.9500007629394531,1.0,0.0
29,5) - Gauss 1 - 100 UNIT - Spectral Radius: 0.95 ,1,8.185956090756008e-08,9.41490364074707,-0.235911,0.09090335718254652,0.257206529378891,0.9463264346122742,19.21150779724121,5.71400785446167
30,5) - Gauss 2 - 100 UNIT - Spectral Radius: 0.95 ,2,2.093205608844073e-09,10.686427116394043,-1.1069797,0.0761723598576161,0.0745103657245636,0.5553452372550964,11.094745635986328,1.5699527263641357
31,5) - Bimodal - 100 UNIT - Spectral Radius: 0.95 ,3,7.069109386748096e-08,8.133590698242188,-0.05966454,0.053589069752809214,0.12006886303424835,0.9479942321777344,17.94612693786621,8.813735961914062
32,5) - Trim 1 - 100 UNIT - Spectral Radius: 0.95 ,4,2.3823184847060475e-07,8.94573974609375,-0.09171388,0.4267159151797717,0.09229148924350739,0.9416918754577637,20.03203010559082,9.278820991516113
33,5) - Trim 2 - 100 UNIT - Spectral Radius: 0.95 ,5,2.9216256081099345e-09,9.863563537597656,-0.0941864,0.05348599628616791,0.06624961644411087,0.9491978883743286,24.831092834472656,9.730663299560547
34,5) - Trim 3 - 100 UNIT - Spectral Radius: 0.95 ,6,1.7013654929343147e-09,9.084121704101562,-0.29296046,0.06878351416479057,0.056792840361595154,0.9335865378379822,19.439105987548828,9.568806648254395
35,1) - Vanilla - 150 UNIT - Spectral Radius: 0.95 ,0,8.116081517073326e-06,22.17171859741211,-0.08919562,0.05323485211744495,,0.9500007629394531,1.0,0.0
36,1) - Gauss 1 - 150 UNIT - Spectral Radius: 0.95 ,1,6.426797938274831e-08,10.224685668945312,-0.7655473,0.07893727523559277,0.27054741978645325,0.944735050201416,22.979463577270508,6.43260383605957
37,1) - Gauss 2 - 150 UNIT - Spectral Radius: 0.95 ,2,1.1306288127954645e-09,11.360872268676758,-0.8585496,0.056744026198495015,0.08500371128320694,0.5531312227249146,13.725132942199707,2.138632297515869
38,1) - Bimodal - 150 UNIT - Spectral Radius: 0.95 ,3,6.925613149633136e-08,9.535496711730957,-0.08028651,0.10109897590982535,0.10997961461544037,0.9464214444160461,22.707216262817383,11.107014656066895
39,1) - Trim 1 - 150 UNIT - Spectral Radius: 0.95 ,4,1.0084582058311753e-09,10.36610221862793,-0.076335676,0.04716160178211487,0.08272955566644669,0.9454284906387329,22.89129638671875,10.040934562683105
40,1) - Trim 2 - 150 UNIT - Spectral Radius: 0.95 ,5,9.68212510166211e-10,10.778770446777344,-0.21937287,0.04876247531096344,0.05761279538273811,0.9447438716888428,24.88667869567871,10.41655158996582
41,1) - Trim 3 - 150 UNIT - Spectral Radius: 0.95 ,6,1.736365828897135e-09,9.723832130432129,-0.096343994,0.18472201972646968,0.057564664632081985,0.9461575746536255,21.85848617553711,12.041824340820312
42,2) - Vanilla - 150 UNIT - Spectral Radius: 0.95 ,0,6.781965112168109e-06,19.840957641601562,-0.13325205,0.14757774779395716,,0.9499987363815308,1.0,0.0
43,2) - Gauss 1 - 150 UNIT - Spectral Radius: 0.95 ,1,8.684503427502932e-08,10.514968872070312,-2.7593396,0.10078862707276652,0.25130632519721985,0.9482607841491699,19.75900650024414,4.70967960357666
44,2) - Gauss 2 - 150 UNIT - Spectral Radius: 0.95 ,2,1.0778586911897037e-09,10.830018997192383,-0.785117,0.061976325091343654,0.10684081166982651,0.5652135610580444,14.121427536010742,2.7141177654266357
45,2) - Bimodal - 150 UNIT - Spectral Radius: 0.95 ,3,8.396543904609644e-08,8.937560081481934,-0.22295538,0.0809228357925409,0.11032407730817795,0.9481469988822937,22.533939361572266,10.794047355651855
46,2) - Trim 1 - 150 UNIT - Spectral Radius: 0.95 ,4,1.3011866029088992e-09,10.062887191772461,-0.11267156,0.053747538374990925,0.08698661625385284,0.9449552893638611,22.170259475708008,10.080582618713379
47,2) - Trim 2 - 150 UNIT - Spectral Radius: 0.95 ,5,1.2345433564320274e-09,10.4964599609375,-0.07504173,0.04754584598261544,0.05698365718126297,0.9490943551063538,26.640058517456055,12.108796119689941
48,2) - Trim 3 - 150 UNIT - Spectral Radius: 0.95 ,6,8.720666966333113e-10,9.139985084533691,-0.08242249,0.04793604189838242,0.05535196140408516,0.9478328227996826,25.181636810302734,13.09764289855957
49,3) - Vanilla - 150 UNIT - Spectral Radius: 0.95 ,0,2.202025598307955e-06,20.194446563720703,-0.12578318,0.1524347019513715,,0.950001060962677,1.0,0.0
