,Name,TYPE,MSE,MC,Lambda max,delta_phI,KL,Rho,A-Norm,B-Norm
0,1) - Vanilla - 80 UNIT - Spectral Radius: 0.8 ,0,1.0884908945318506e-08,14.571709632873535,-0.23807493,0.048985465909485486,,tensor(0.8000),1.0,0.0
1,1) - Gauss 1 - 80 UNIT - Spectral Radius: 0.8 ,1,1.8802826820586867e-07,7.33574104309082,-0.6914332,0.20515327200558037,0.23303407430648804,tensor(0.5297),17.13550567626953,5.363963603973389
2,1) - Gauss 2 - 80 UNIT - Spectral Radius: 0.8 ,2,4.461765079274597e-07,5.978263854980469,-0.8337112,0.16194175240458786,0.2963069677352905,tensor(0.6959),23.96377944946289,10.919112205505371
3,1) - Bimodal - 80 UNIT - Spectral Radius: 0.8 ,3,3.02795195212234e-07,5.387274742126465,-3.348869,0.9937500434158535,0.09089081734418869,tensor(0.6343),22.78729248046875,12.409895896911621
4,1) - Trim 1 - 80 UNIT - Spectral Radius: 0.8 ,4,1.44177103870382e-07,7.3052449226379395,-0.61484057,0.06921857272979391,0.052317045629024506,tensor(0.5566),20.463838577270508,8.964010238647461
5,1) - Trim 2 - 80 UNIT - Spectral Radius: 0.8 ,5,5.916911697917788e-08,7.638520240783691,-0.47110286,0.057689142849941095,0.04320472106337547,tensor(0.6310),19.149288177490234,8.907225608825684
6,2) - Vanilla - 80 UNIT - Spectral Radius: 0.8 ,0,1.7922516913887156e-08,15.254698753356934,-0.23534237,0.0551058525217044,,tensor(0.8000),1.0,0.0
7,2) - Gauss 1 - 80 UNIT - Spectral Radius: 0.8 ,1,4.151692215956779e-08,7.408437728881836,-0.7276414,0.08593965684093285,0.2185067981481552,tensor(0.4867),17.63265609741211,5.685046195983887
8,2) - Gauss 2 - 80 UNIT - Spectral Radius: 0.8 ,2,3.2807671752322476e-07,6.035711765289307,-0.64373755,0.04783429699685609,0.25610291957855225,tensor(0.6240),19.636491775512695,9.474117279052734
9,2) - Bimodal - 80 UNIT - Spectral Radius: 0.8 ,3,5.520363222950924e-07,5.241812229156494,-2.7496514,0.057985552802043115,0.0906871110200882,tensor(0.6510),22.974550247192383,12.395207405090332
10,2) - Trim 1 - 80 UNIT - Spectral Radius: 0.8 ,4,1.7317775063904068e-07,7.521265506744385,-0.6417415,0.18700684854968908,0.05210377648472786,tensor(0.5356),18.731708526611328,8.746908187866211
11,2) - Trim 2 - 80 UNIT - Spectral Radius: 0.8 ,5,8.285089088041717e-08,7.123663425445557,-0.43584922,0.05231156109947815,0.041700802743434906,tensor(0.6570),28.794404983520508,11.85605525970459
12,3) - Vanilla - 80 UNIT - Spectral Radius: 0.8 ,0,2.531347022319712e-08,13.674247741699219,-0.241036,0.05179029172152907,,tensor(0.8000),1.0,0.0
13,3) - Gauss 1 - 80 UNIT - Spectral Radius: 0.8 ,1,5.3696053623311925e-08,7.218032360076904,-1.2271506,0.04555810624229647,0.23310557007789612,tensor(0.5091),17.46161651611328,5.642077445983887
14,3) - Gauss 2 - 80 UNIT - Spectral Radius: 0.8 ,2,8.583817680224897e-08,6.440127849578857,-2.9109578,0.6681698882062842,0.22888092696666718,tensor(0.4966),16.703296661376953,7.907800674438477
15,3) - Bimodal - 80 UNIT - Spectral Radius: 0.8 ,3,2.422766045608593e-07,5.328704833984375,-1.4068493,0.9049241357323378,0.09387968480587006,tensor(0.6455),23.015413284301758,12.406453132629395
16,3) - Trim 1 - 80 UNIT - Spectral Radius: 0.8 ,4,7.274268582326958e-08,7.350190162658691,-0.61626416,0.05718174573858694,0.050043296068906784,tensor(0.5673),19.144105911254883,8.921704292297363
17,3) - Trim 2 - 80 UNIT - Spectral Radius: 0.8 ,5,1.2082156278425674e-07,7.294666767120361,-0.5070764,0.11225704602804631,0.042550235986709595,tensor(0.6026),19.95252799987793,8.91881275177002
