,Name,TYPE,MSE,MC,Lambda max,delta_phI,KL,Rho,A-Norm,B-Norm
0,1) - Vanilla - 100 UNIT - Spectral Radius: 0.95 ,0,0.0216264421662073,16.712900161743164,-0.07732938,0.06899994371685869,,0.9499998688697815,1.0,0.0
1,1) - Gauss 1 - 100 UNIT - Spectral Radius: 0.95 ,1,0.021479941858597758,9.424439430236816,-0.054575693,0.056938006758242656,0.24935327470302582,0.94969242811203,16.899097442626953,4.760641098022461
2,1) - Gauss 2 - 100 UNIT - Spectral Radius: 0.95 ,2,0.02161291973939263,8.865239143371582,-0.14141451,0.04788066842138881,0.20034655928611755,0.9437028765678406,16.2039737701416,6.010500431060791
3,1) - Bimodal - 100 UNIT - Spectral Radius: 0.95 ,3,0.021531002919818347,8.112495422363281,-1.1172304,0.06194390362483484,0.09256115555763245,0.9492426514625549,19.499317169189453,10.156344413757324
4,1) - Trim 1 - 100 UNIT - Spectral Radius: 0.95 ,4,0.021524689679978566,9.282037734985352,-0.20280956,0.056806411300368384,0.07644735276699066,0.94904625415802,22.193309783935547,9.116522789001465
5,1) - Trim 2 - 100 UNIT - Spectral Radius: 0.95 ,5,0.021599666287831353,9.854811668395996,-0.053463325,0.17742450357415643,0.05921981483697891,0.9488922953605652,14.809053421020508,6.508603572845459
6,2) - Vanilla - 100 UNIT - Spectral Radius: 0.95 ,0,0.02163341693098717,19.532602310180664,-0.16697928,0.11027247990903216,,0.9500035643577576,1.0,0.0
7,2) - Gauss 1 - 100 UNIT - Spectral Radius: 0.95 ,1,0.02152266330671624,8.817449569702148,-0.099965125,0.35847260484775445,0.26280951499938965,0.943945050239563,17.744617462158203,5.2700629234313965
8,2) - Gauss 2 - 100 UNIT - Spectral Radius: 0.95 ,2,0.02170582896173638,8.506203651428223,-2.8403463,0.05757211264257148,0.23001006245613098,0.9491522908210754,19.542268753051758,7.652647495269775
9,2) - Bimodal - 100 UNIT - Spectral Radius: 0.95 ,3,0.021538206879793017,8.017646789550781,-1.360993,0.0813153085152808,0.0944182500243187,0.9486744999885559,19.15739631652832,9.283085823059082
10,2) - Trim 1 - 100 UNIT - Spectral Radius: 0.95 ,4,0.021500214421345754,10.023904800415039,-1.2037446,0.23783763163771326,0.08026359975337982,0.93309086561203,17.848852157592773,7.8229756355285645
11,2) - Trim 2 - 100 UNIT - Spectral Radius: 0.95 ,5,0.021544792876348348,9.133773803710938,-0.05596027,0.047648845827964685,0.055059295147657394,0.9483956694602966,19.73278045654297,9.63366985321045
12,1) - Vanilla - 150 UNIT - Spectral Radius: 0.95 ,0,0.021705661244624915,20.97989845275879,-0.30488464,0.05182011154460508,,0.949999988079071,1.0,0.0
13,1) - Gauss 1 - 150 UNIT - Spectral Radius: 0.95 ,1,0.021564579907563938,9.334742546081543,-0.23187104,0.08284051405058435,0.2696644067764282,0.949447751045227,23.200380325317383,7.2373857498168945
14,1) - Gauss 2 - 150 UNIT - Spectral Radius: 0.95 ,2,0.021924529495486383,9.975018501281738,-4.9607663,0.2890593445295044,0.2391335815191269,0.946736216545105,23.648523330688477,9.290702819824219
15,1) - Bimodal - 150 UNIT - Spectral Radius: 0.95 ,3,0.021684967353383107,9.178333282470703,-1.1837021,0.3924805143681293,0.09925664961338043,0.9494898319244385,23.32049560546875,12.04545783996582
16,1) - Trim 1 - 150 UNIT - Spectral Radius: 0.95 ,4,0.021795507509783256,10.636784553527832,-0.23317237,0.16045031819680194,0.09479068219661713,0.9494534730911255,22.816442489624023,10.242436408996582
17,1) - Trim 2 - 150 UNIT - Spectral Radius: 0.95 ,5,0.0216570484480645,10.79859447479248,-0.13035467,0.05406887108608007,0.055944882333278656,0.9396226406097412,24.981929779052734,9.902619361877441
18,2) - Vanilla - 150 UNIT - Spectral Radius: 0.95 ,0,0.02180610846407958,21.33452606201172,-0.060600623,0.06154024809173819,,0.9499974250793457,1.0,0.0
19,2) - Gauss 1 - 150 UNIT - Spectral Radius: 0.95 ,1,0.021677011657344595,10.65715217590332,-1.0503747,0.13446688006987553,0.23673337697982788,0.9374508857727051,19.071290969848633,4.521083831787109
20,2) - Gauss 2 - 150 UNIT - Spectral Radius: 0.95 ,2,0.022148128548162158,8.785958290100098,-0.2806963,0.1476392925931704,0.251557856798172,0.9481541514396667,23.2906436920166,9.231797218322754
21,2) - Bimodal - 150 UNIT - Spectral Radius: 0.95 ,3,0.021753140139529347,8.738343238830566,-1.1769786,0.22733106186361002,0.09779568761587143,0.94562828540802,23.818862915039062,11.971322059631348
22,2) - Trim 1 - 150 UNIT - Spectral Radius: 0.95 ,4,0.021563120184075246,10.07625961303711,-0.24830866,0.061719123022537625,0.07533670961856842,0.938957154750824,21.24827003479004,9.998784065246582
23,2) - Trim 2 - 150 UNIT - Spectral Radius: 0.95 ,5,0.021739926253754812,10.054754257202148,-0.06419366,0.053449749448555316,0.0567963644862175,0.9497186541557312,26.2640380859375,11.11721420288086
24,1) - Vanilla - 200 UNIT - Spectral Radius: 0.95 ,0,0.02186283825424333,23.572887420654297,-0.056212578,0.04962817338957709,,0.9499979615211487,1.0,0.0
25,1) - Gauss 1 - 200 UNIT - Spectral Radius: 0.95 ,1,0.022517137728616264,11.138009071350098,-2.302008,0.21900262228761652,0.24878665804862976,0.9335479736328125,23.164941787719727,5.924098968505859
26,1) - Gauss 2 - 200 UNIT - Spectral Radius: 0.95 ,2,0.02477466325220513,9.698344230651855,-1.7141999,0.19991007387491766,0.23830780386924744,0.9218419194221497,24.698619842529297,9.173956871032715
27,1) - Bimodal - 200 UNIT - Spectral Radius: 0.95 ,3,0.021728873392498103,9.244307518005371,-0.43980068,0.2661985612478125,0.09982098639011383,0.9448432922363281,27.75580406188965,14.197540283203125
28,1) - Trim 1 - 200 UNIT - Spectral Radius: 0.95 ,4,0.02200074993783013,10.190192222595215,-0.05553619,0.12328182546276327,0.09387863427400589,0.9460524320602417,26.19514274597168,11.557634353637695
29,1) - Trim 2 - 200 UNIT - Spectral Radius: 0.95 ,5,0.02183965243974419,11.51042652130127,-0.059387866,0.1113553341903301,0.05621175467967987,0.9458305835723877,28.005701065063477,12.476613998413086
30,2) - Vanilla - 200 UNIT - Spectral Radius: 0.95 ,0,0.022004327668623286,19.988338470458984,-0.070632614,0.060662625029465976,,0.9500043988227844,1.0,0.0
31,2) - Gauss 1 - 200 UNIT - Spectral Radius: 0.95 ,1,0.022368808238943407,10.836047172546387,-0.9267473,0.5481610830893464,0.2483411431312561,0.9367985725402832,26.34394073486328,7.473266124725342
32,2) - Gauss 2 - 200 UNIT - Spectral Radius: 0.95 ,2,0.02297543849673638,9.971943855285645,-0.35602838,0.052385849195536426,0.21109504997730255,0.9425390958786011,22.26295280456543,8.457279205322266
33,2) - Bimodal - 200 UNIT - Spectral Radius: 0.95 ,3,0.021987058216677784,9.732159614562988,-0.19467542,0.1467281463474608,0.09402143955230713,0.9499238729476929,26.43845558166504,13.491775512695312
34,2) - Trim 1 - 200 UNIT - Spectral Radius: 0.95 ,4,0.021711046386404347,10.815947532653809,-0.12024292,0.15918502497231912,0.08274485915899277,0.944133460521698,26.83403968811035,12.055899620056152
35,2) - Trim 2 - 200 UNIT - Spectral Radius: 0.95 ,5,0.02209461301564263,11.398917198181152,-0.21094751,0.07424891482003594,0.0579858236014843,0.9405513405799866,27.270126342773438,10.805146217346191
36,1) - Vanilla - 250 UNIT - Spectral Radius: 0.95 ,0,0.02203137468481006,22.596521377563477,-0.15891844,0.05471547431164143,,0.9499983191490173,1.0,0.0
37,1) - Gauss 1 - 250 UNIT - Spectral Radius: 0.95 ,1,0.02288565115439263,11.34427547454834,-0.16083264,0.06792397267672928,0.24224944412708282,0.9473841786384583,27.21631622314453,7.70412540435791
38,1) - Gauss 2 - 250 UNIT - Spectral Radius: 0.95 ,2,0.10814963753079887,10.124284744262695,-0.37768438,0.14403735835667986,0.23909084498882294,0.947933554649353,28.15757942199707,11.297135353088379
39,1) - Bimodal - 250 UNIT - Spectral Radius: 0.95 ,3,0.022184554918611384,9.23514175415039,-0.33255363,0.06382397558033744,0.10097671300172806,0.9491986632347107,30.011743545532227,14.971890449523926
40,1) - Trim 1 - 250 UNIT - Spectral Radius: 0.95 ,4,0.02202501441939263,11.029372215270996,-0.06181847,0.0755169858476971,0.09405829012393951,0.9493106603622437,28.902896881103516,13.515384674072266
41,1) - Trim 2 - 250 UNIT - Spectral Radius: 0.95 ,5,0.022275278945486376,11.426251411437988,-0.06079576,0.11669559440579683,0.0551433190703392,0.9451707601547241,31.422317504882812,13.775566101074219
42,2) - Vanilla - 250 UNIT - Spectral Radius: 0.95 ,0,0.021983363481337708,23.03170394897461,-0.0617056,0.0486662878522137,,0.949999988079071,1.0,0.0
43,2) - Gauss 1 - 250 UNIT - Spectral Radius: 0.95 ,1,0.022144171861111377,10.933096885681152,-2.539224,0.46333897496888254,0.25625354051589966,0.9467499852180481,27.2808780670166,7.585505485534668
44,2) - Gauss 2 - 250 UNIT - Spectral Radius: 0.95 ,2,0.023479697804236376,10.467204093933105,-0.3656667,0.08169640670630977,0.21068738400936127,0.8970606327056885,26.746753692626953,10.120939254760742
45,2) - Bimodal - 250 UNIT - Spectral Radius: 0.95 ,3,0.02285206593918267,9.75821590423584,-0.5246183,0.2687752469867959,0.1004650667309761,0.9456153512001038,29.505380630493164,14.315189361572266
46,2) - Trim 1 - 250 UNIT - Spectral Radius: 0.95 ,4,0.022590473497517628,11.160646438598633,-0.06099749,0.14481627082869242,0.07136443257331848,0.9490673542022705,30.523038864135742,12.852795600891113
47,2) - Trim 2 - 250 UNIT - Spectral Radius: 0.95 ,5,0.02225929438040825,11.724493026733398,-0.09291304,0.06765498809689025,0.052767135202884674,0.9495255947113037,31.51938819885254,13.236798286437988
