,Name,TYPE,MSE,MC,Lambda max,delta_phI,KL,Rho,A-Norm,B-Norm
0,1) - Vanilla - 100 UNIT - Spectral Radius: 0.95 ,0,0.0002591919619590044,17.639053344726562,-0.12112271,0.13048158891959732,,0.9499993324279785,1.0,0.0
1,1) - Gauss 1 - 100 UNIT - Spectral Radius: 0.95 ,1,0.00010816961730597541,8.466520309448242,-0.16323623,0.19472902448621354,0.2894975543022156,0.9378721117973328,18.968414306640625,5.534850120544434
2,1) - Gauss 2 - 100 UNIT - Spectral Radius: 0.95 ,2,1.3461018170346506e-05,10.56589126586914,-0.6660467,0.048996756353488956,0.08995232731103897,0.5687775015830994,11.277142524719238,1.884784460067749
3,1) - Bimodal - 100 UNIT - Spectral Radius: 0.95 ,3,8.592557423980907e-05,8.52381706237793,-0.39059934,0.07709695626980889,0.11058245599269867,0.9495716691017151,18.15694236755371,8.891752243041992
4,1) - Trim 1 - 100 UNIT - Spectral Radius: 0.95 ,4,1.5019266356830485e-05,9.192221641540527,-0.062918864,0.07690532716382609,0.09516142308712006,0.9499198198318481,18.838449478149414,8.671690940856934
5,1) - Trim 2 - 100 UNIT - Spectral Radius: 0.95 ,5,2.434388989058789e-05,9.537357330322266,-0.13250718,0.5397912745083596,0.05815631523728371,0.9471367597579956,20.473005294799805,9.449809074401855
6,1) - Trim 3 - 100 UNIT - Spectral Radius: 0.95 ,6,0.00010134273179573938,8.757132530212402,-0.492202,0.04528402761395786,0.05928879976272583,0.9489992260932922,17.433494567871094,9.483101844787598
7,2) - Vanilla - 100 UNIT - Spectral Radius: 0.95 ,0,0.00015313035692088306,17.661636352539062,-0.08120081,0.07190360197823951,,0.9499999284744263,1.0,0.0
8,2) - Gauss 1 - 100 UNIT - Spectral Radius: 0.95 ,1,9.819045953918248e-05,10.168983459472656,-0.12396149,0.05628461420137588,0.2422669231891632,0.9451941251754761,18.46919059753418,4.967868804931641
9,2) - Gauss 2 - 100 UNIT - Spectral Radius: 0.95 ,2,9.557968951412477e-06,10.593257904052734,-0.6168036,0.5167050362878074,0.07227368652820587,0.5607714653015137,11.092724800109863,1.482729196548462
10,2) - Bimodal - 100 UNIT - Spectral Radius: 0.95 ,3,0.00011070509208366275,8.105735778808594,-0.62500113,0.09806753168251559,0.11362700164318085,0.9475099444389343,18.947519302368164,9.513506889343262
11,2) - Trim 1 - 100 UNIT - Spectral Radius: 0.95 ,4,1.251856519957073e-05,8.973681449890137,-0.17881037,0.05648612767626046,0.0915052518248558,0.9487935900688171,20.94093894958496,9.24318790435791
12,2) - Trim 2 - 100 UNIT - Spectral Radius: 0.95 ,5,2.128979394910857e-05,9.277121543884277,-0.096571684,0.09334225733243075,0.0540190115571022,0.9457071423530579,20.05535888671875,9.377752304077148
13,2) - Trim 3 - 100 UNIT - Spectral Radius: 0.95 ,6,2.296232560183853e-05,8.797567367553711,-0.13088064,0.5989522538424568,0.05555885285139084,0.9495635628700256,19.28089141845703,9.911499977111816
14,3) - Vanilla - 100 UNIT - Spectral Radius: 0.95 ,0,0.00040854039252735674,16.186357498168945,-0.16233797,0.05051880062087453,,0.9500010013580322,1.0,0.0
