,Name,TYPE,MSE,MC,Lambda max,delta_phI,KL,Rho,A-Norm,B-Norm
0,1) - Vanilla - 100 UNIT - Spectral Radius: 0.95 ,0,0.00013771842350251973,20.252750396728516,-0.118689716,0.14444268120456116,,0.9500036835670471,1.0,0.0
1,1) - Gauss 1 - 100 UNIT - Spectral Radius: 0.95 ,1,1.8686640714804525e-06,10.395102500915527,-0.23587927,0.05473200315190074,0.20437024533748627,0.9437524080276489,15.809185028076172,3.344372510910034
2,1) - Gauss 2 - 100 UNIT - Spectral Radius: 0.95 ,2,2.1763887616543798e-06,10.00775146484375,-0.6289569,0.046180164749538205,0.11576792597770691,0.5843113660812378,11.529023170471191,2.21703839302063
3,1) - Bimodal - 100 UNIT - Spectral Radius: 0.95 ,3,1.9122028334095376e-06,8.62967300415039,-0.4846772,0.08098698176950528,0.10334039479494095,0.9486594200134277,19.795740127563477,10.3649263381958
4,1) - Trim 1 - 100 UNIT - Spectral Radius: 0.95 ,4,1.970271625850728e-07,10.239970207214355,-0.12180646,0.04736295057038612,0.07494501024484634,0.9440721273422241,18.9349365234375,7.836309909820557
5,1) - Trim 2 - 100 UNIT - Spectral Radius: 0.95 ,5,1.4690654097648803e-05,9.012683868408203,-0.21241097,0.04361466402547223,0.05654600262641907,0.9490610957145691,17.35739517211914,7.897147178649902
6,1) - Trim 3 - 100 UNIT - Spectral Radius: 0.95 ,6,1.112860559260298e-07,8.444400787353516,-0.060107883,0.061271804136639046,0.0569988377392292,0.9472431540489197,21.198671340942383,10.876429557800293
7,2) - Vanilla - 100 UNIT - Spectral Radius: 0.95 ,0,0.00016463040083181113,18.302600860595703,-0.20164569,0.09868566953021102,,0.9499989748001099,1.0,0.0
8,2) - Gauss 1 - 100 UNIT - Spectral Radius: 0.95 ,1,4.3801696847367566e-07,9.493785858154297,-0.60732406,0.04667797806152552,0.2660144865512848,0.940893292427063,18.403661727905273,5.113008499145508
9,2) - Gauss 2 - 100 UNIT - Spectral Radius: 0.95 ,2,2.3406572324802255e-07,9.8546724319458,-0.5985776,0.15417296365491975,0.09378886967897415,0.5667256116867065,11.312211036682129,1.8990898132324219
10,2) - Bimodal - 100 UNIT - Spectral Radius: 0.95 ,3,2.0417239738890203e-06,8.04239559173584,-0.39208472,0.11596806932099309,0.09462454915046692,0.9479727745056152,18.850723266601562,9.43036937713623
11,2) - Trim 1 - 100 UNIT - Spectral Radius: 0.95 ,4,9.816162673814688e-07,9.520986557006836,-0.069515735,0.2990791883447608,0.08107917755842209,0.9407210350036621,17.279428482055664,8.107930183410645
12,2) - Trim 2 - 100 UNIT - Spectral Radius: 0.95 ,5,3.7236762295833614e-07,10.37335205078125,-0.119707175,0.7128806970904789,0.05362827330827713,0.944392740726471,15.716044425964355,6.8649468421936035
13,2) - Trim 3 - 100 UNIT - Spectral Radius: 0.95 ,6,5.791972412794166e-08,8.64178466796875,-0.13312246,0.05274381771625254,0.05817251279950142,0.9451352953910828,21.63623046875,11.296059608459473
14,3) - Vanilla - 100 UNIT - Spectral Radius: 0.95 ,0,8.870746387401596e-05,17.973106384277344,-0.07885006,0.053440402171834815,,0.9499995708465576,1.0,0.0
15,3) - Gauss 1 - 100 UNIT - Spectral Radius: 0.95 ,1,1.8955282712340704e-06,9.222968101501465,-0.66664016,0.05884927541052453,0.26085540652275085,0.9443377256393433,18.38221549987793,5.213339328765869
16,3) - Gauss 2 - 100 UNIT - Spectral Radius: 0.95 ,2,2.832114489592641e-07,10.5413818359375,-0.7493228,0.10285465696607292,0.08471059054136276,0.5563877820968628,11.202849388122559,1.6730413436889648
17,3) - Bimodal - 100 UNIT - Spectral Radius: 0.95 ,3,7.254336651385529e-07,8.535737991333008,-1.3110623,0.09554337453593288,0.10031361132860184,0.9424353241920471,18.354415893554688,9.034442901611328
18,3) - Trim 1 - 100 UNIT - Spectral Radius: 0.95 ,4,7.106067414497375e-07,9.859108924865723,-0.081621625,0.04635512758939013,0.077416330575943,0.9441816806793213,16.952329635620117,7.9257965087890625
19,3) - Trim 2 - 100 UNIT - Spectral Radius: 0.95 ,5,3.4616337529769226e-07,9.799243927001953,-0.0773426,0.08779473956685299,0.055845603346824646,0.9474242329597473,15.8551025390625,7.181120872497559
20,3) - Trim 3 - 100 UNIT - Spectral Radius: 0.95 ,6,1.5318882162773662e-07,9.100377082824707,-0.1280327,0.055319885480367106,0.06255333125591278,0.9401674270629883,17.81006622314453,9.147871971130371
21,4) - Vanilla - 100 UNIT - Spectral Radius: 0.95 ,0,0.00012961555330548435,18.623245239257812,-0.24335302,0.049730185422117705,,0.9500005841255188,1.0,0.0
22,4) - Gauss 1 - 100 UNIT - Spectral Radius: 0.95 ,1,8.320327538058336e-07,9.703104019165039,-0.13921532,0.0986169814717288,0.23925037682056427,0.9458741545677185,15.92672348022461,3.6305923461914062
23,4) - Gauss 2 - 100 UNIT - Spectral Radius: 0.95 ,2,4.883897872787202e-07,10.152064323425293,-0.6310942,0.07815192280675307,0.0970534011721611,0.5603818297386169,11.297137260437012,1.8932254314422607
24,4) - Bimodal - 100 UNIT - Spectral Radius: 0.95 ,3,7.302916742446541e-07,8.213257789611816,-0.62664086,0.18420025459838565,0.10619816184043884,0.949901282787323,18.330991744995117,8.953117370605469
